name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Dr Roux Pieter,"139 Heugh Rd, Walmer, Gqeberha, 6070",No Website,041 581 2422,42,4.6,-33.876364,25.3651852
The Braces Hub,"22 William St, Newton Park, Gqeberha, 6045",No Website,083 321 4428,2,4.6,-33.876364,25.3651852
Dr KC Johannes,"40 4th Ave, Newton Park, Gqeberha, 6045",No Website,041 364 0884,26,4.6,-33.876364,25.3651852
Dentist On 4th,"70 4th Ave, Newton Park, Gqeberha, 6055",No Website,041 364 0041,140,4.6,-33.876364,25.3651852
Dr P Pillay,"380 Cape Rd, Fernglen, Gqeberha, 6045",No Website,041 365 7008,5,4.6,-33.876364,25.3651852
Lasandzz Beauty Studio,"125 A Zastron St, Westdene, Bloemfontein, 9323",No Website,073 344 0736,30,4.9,-29.1130933,26.1553217
Done's Skin Specialists,"20 General Dan Pienaar Dr, Westdene, Bloemfontein, 9301",dones.co.za,051 444 5600,181,4.9,-29.111502,25.0576863
Beauty Full Image Salon,"186 Benade Dr, Fichardt Park, Bloemfontein, 9301",beautyfullimage.co.za,084 726 3597,0,4.9,-29.111502,25.0576863
Cherryink Beauty Group,"15 President Steyn Street, Westdene, Bloemfontein, 9301",cherryinkgroup.co.za,071 573 1811,47,4.9,-29.111502,25.0576863
New U House of Beauty & Aesthetics,"85 Deale Rd, Dan Pienaar, Bloemfontein, 9301",new-u.co.za,051 447 5571,19,4.9,-29.111502,25.0576863
Husky Painting and Contracting,"11 Davidson St, Berea, East London, 5241",huskygroup.co.za,083 563 1736,19,5.0,-32.955202,27.4509394
Hampson Painting & Contracting East London,"8 B Rd, Beacon Bay, East London, 5214",hampsonprojects.co.za,083 866 0069,10,5.0,-32.955202,27.4509394
That Painter Guy,"12 14th Ave, Gonubie, East London, 5256",No Website,072 831 7663,0,5.0,-32.955202,27.4509394
Wrede Painting Contractors,"27 Syringa Ave, Bonza Bay, East London, 5241",No Website,082 923 5851,7,5.0,-32.955202,27.4509394
Art Versatile Africa,"Unit 2, 12 Recreation Rd, Arcadia, East London, 5201",artversatile.co.za,068 528 4084,20,5.0,-32.955202,27.4509394
