name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Byron Thomas Properties,"243 Jan Smuts Ave, Parktown North, Johannesburg, 2193",byronthomasproperties.co.za,065 941 0420,281,4.9,-26.1768541,27.9754974
The KwaZulu-Natal Society of the Arts,"166 Bulwer Rd, Bulwer, Durban, 4001",kznsagallery.co.za,031 277 1705,1024,4.4,-25.8208604,23.5618054
Artworks Graphic Design Agency,"30 Steel Rd, Morningside, Durban, 4001",artworks.co.za,031 303 6466,0,4.4,-29.8598582,29.8434606
A Chimes & Van Wyk Inc,"58 Cathedral St, George Central, George, 6529",chimesvanwyk.co.za,044 874 1621,40,4.9,-33.9621395,22.4480928
Raubenheimers Attorneys,"60 Cathedral St, George Central, George, 6529",raubenheimers.co.za,044 873 2043,20,4.9,-33.9621395,22.4480928
Just Property Kimberley,"9 Rendlesham Rd, Belgravia, Kimberley, 8301",just.property,076 935 7436,0,4.4,-28.7414146,24.7086767
She leads foundation NC,"41 Oupa Claasen St, Morning Glory, Upington, 8801",No Website,071 789 6093,0,5.0,-28.4543596,21.2140111
CARLAB,"Pick n Pay Faerie Glen (Atterbury Entrance, Atterbury Rd, Faerie Glen, Pretoria, 0081",topshine.co.za,012 991 2199,0,4.0,-25.7846896,28.178775
CREAM Car Wash Cornwall View,"cnr. Boeing Street &, Piering Rd, Rietvalleirand, Pretoria, 0181",creamwash.co.za,082 371 5175,58,4.0,-25.7846896,28.178775
Kav'z Car Wash Auto Valet,"42 Allandale Dr, Allandale, Pietermaritzburg, 3201",No Website,084 560 0426,130,4.2,-29.5698318,28.1021461
Quality Car Wash & Auto Valet Centre,"50 Simeon Rd, Northdale, Pietermaritzburg, 3201",No Website,082 807 8638,0,4.2,-29.5698318,28.1021461
Express Car Wash & Valet,"102 Peter Kerchhoff St, Pietermaritzburg, 3201",No Website,033 342 1430,96,4.2,-29.5698318,28.1021461
COMMUNITY CHEST OF WESTERN CAPE,"82 Bree St, Cape Town City Centre, Cape Town, 8000",comchest.org.za,021 487 1500,46,4.7,-33.9204999,17.2649505
"Nelspruit Dental Practice - Dr’s Burger, Bowker and Mabuza","13 Murray St, Mbombela, 1201",nelspruitdental.co.za,013 752 2614,65,4.8,-25.4825295,30.9550418
Stapelberg Orthodontics,"81 Vanwijk St, Sonheuwel, Mbombela, 1200",stapelbergorthodontics.co.za,013 744 1115,5,4.8,-25.4825295,30.9550418
Dr S Patel - Promenade Shopping Centre,"Suite 17, Promenade Centre, Cnr Samora Machel &, Henshall St, Mbombela, 1200",No Website,013 755 1813,114,4.8,-25.4825295,30.9550418
Dr Michael Strydom,"Unit 1, 23 Branders St, Mbombela, 1200",No Website,013 752 2614,6,4.8,-25.4825295,30.9550418
Dr. SDJ Kutumela Orthodontist Inc.,"58 Koraalboom Ave, West Acres, Mbombela, 1200",No Website,013 741 1845,13,4.8,-25.4832186,30.9231476
Supreme Auto,"Aerodrome Rd, Industrial sites, Mahikeng, 2745",fordmahikeng.co.za,018 381 3675,172,4.2,-25.8419263,23.3274186
"Mr Car ""We Buy Cars""","432 Langalibalele St, Pietermaritzburg, 3201",mrcar.co.za,033 345 6297,439,4.8,-29.5971713,28.0798815
